anio,id_diputado,nombre_completo,rank_asistencia,pct_asistencia_ponderada,sesiones_consideradas,pct_cobertura_registro,flag_cobertura,publicar_en_ranking,status_2025,nota_status,fuente_status,no_asiste_total,no_asiste_con_just,no_asiste_sin_just,pct_no_asiste_justificada,missing_no_evaluable,disclaimer_notas,fecha_generacion
2025,1150,Benjamín Moreno Bascur,147,87.066,123,100.0,ok,1,,,,16,13,3,81.25,0,Inasistencias justificadas: 13/16 (81.25%).,2026-02-27
2025,872,Jaime Mulet Martínez,148,86.386,120,100.0,ok,1,,,,19,14,5,73.68,0,Inasistencias justificadas: 14/19 (73.68%).,2026-02-27
2025,1180,Consuelo Veloso Ávila,149,86.33,104,100.0,ok,1,,,,33,31,2,93.94,0,Inasistencias justificadas: 31/33 (93.94%).,2026-02-27
2025,1101,Mónica Arce Castro,150,85.507,107,100.0,ok,1,,,,31,21,10,67.74,0,Inasistencias justificadas: 21/31 (67.74%).,2026-02-27
2025,1094,Cristian Labbé Martínez,151,82.686,120,100.0,ok,1,,,,24,15,9,62.5,0,Inasistencias justificadas: 15/24 (62.5%).,2026-02-27
2025,1086,Gonzalo Winter Etcheberry,152,81.954,117,100.0,ok,1,,,,27,21,6,77.78,0,Inasistencias justificadas: 21/27 (77.78%).,2026-02-27
2025,1016,Miguel Ángel Calisto Águila,153,65.416,119,100.0,ok,1,,,,45,23,22,51.11,0,Inasistencias justificadas: 23/45 (51.11%).,2026-02-27
2025,1063,Catalina Pérez Salinas,154,14.826,123,100.0,ok,1,,,,105,101,4,96.19,0,Inasistencias justificadas: 101/105 (96.19%).,2026-02-27
2025,1161,Francisco Pulgar Castillo,155,0.0,123,100.0,ok,1,Desaforado y en prisión preventiva,Arresto domiciliario total; inasistencia explicada,Fuente_periodistica,123,123,0,100.0,0,Status 2025: Desaforado y en prisión preventiva — Arresto domiciliario total; inasistencia explicada | Inasistencias justificadas: 123/123 (100.0%).,2026-02-27
2025,1154,Mauricio Ojeda Rebolledo,156,0.0,123,100.0,ok,1,Desaforado y en prisión preventiva,Arresto domiciliario total; inasistencia explicada,Fuente_periodistica,123,123,0,100.0,0,Status 2025: Desaforado y en prisión preventiva — Arresto domiciliario total; inasistencia explicada | Inasistencias justificadas: 123/123 (100.0%).,2026-02-27
